City_ID,City,Cloudiness,Current Temperature,Humidity,Lat,Lng,Max Temp,Wind Speed
85,Itaituba,93,overcast clouds,99,-4.2761,-55.9836,73.02,2.26
86,Hithadhoo,7,clear sky,60,-0.6,73.0833,82.0,4.79
87,Narsaq,1,clear sky,80,60.9167,-46.05,3.42,5.91
88,Ust-Kuyga,100,light snow,94,70.0167,135.6,-3.05,3.38
89,Bathsheba,40,scattered clouds,78,13.2167,-59.5167,77.61,26.46
90,Bilma,0,clear sky,24,18.6853,12.9164,66.31,10.92
91,Ilebo,100,light rain,96,-4.3167,20.5833,71.42,2.04
92,Cidreira,100,overcast clouds,89,-30.1811,-50.2056,73.35,5.1
93,Peace River,92,overcast clouds,90,56.2501,-117.286,0.52,3.02
94,Rio Gallegos,0,clear sky,76,-51.6226,-69.2181,50.05,18.41
95,Ryotsu,99,overcast clouds,54,38.0833,138.4333,51.8,11.43
96,Nikolskoye,41,scattered clouds,87,59.7035,30.7861,25.81,7.67
97,Bluff,100,heavy intensity rain,63,-46.6,168.3333,70.81,10.09
98,Usogorsk,100,overcast clouds,94,63.4106,48.6872,11.91,10.67
99,Almazar,100,overcast clouds,56,40.3217,69.0106,55.81,12.57
100,Lagoa,100,overcast clouds,62,39.05,-27.9833,56.48,19.93
101,Puerto Ayora,96,overcast clouds,92,-0.7393,-90.3518,78.55,1.01
102,Bethel,0,clear sky,78,41.3712,-73.414,38.64,3.44
103,Chuy,100,overcast clouds,70,-33.6971,-53.4616,66.96,11.1
104,Nguruka,100,overcast clouds,95,-5.1092,31.0419,64.89,1.92
105,Mahajanga,100,overcast clouds,91,-15.7167,46.3167,76.06,6.26
106,Port Hardy,100,light rain,97,50.6996,-127.4199,39.2,12.73
107,Tezu,3,clear sky,18,27.9167,96.1667,81.18,1.23
108,Avarua,40,scattered clouds,74,-21.2078,-159.775,84.25,6.91
109,Ola,100,overcast clouds,70,59.5833,151.2833,28.15,7.14
110,Rio Grande,99,overcast clouds,81,-32.035,-52.0986,69.94,11.16
111,Longyearbyen,20,few clouds,73,78.2186,15.6401,21.04,19.57
112,La Ronge,100,overcast clouds,54,55.1001,-105.2842,-5.55,9.22
113,Bima,24,few clouds,72,-8.4667,118.7167,85.62,5.03
114,Zeya,100,overcast clouds,66,53.75,127.2667,22.35,7.72
115,Esperance,9,clear sky,50,-33.8667,121.9,75.02,8.63
116,Lata,100,light rain,96,40.1629,-8.3327,53.08,9.95
117,Broome,0,clear sky,70,42.2506,-75.833,36.55,5.01
118,Chegutu,14,few clouds,77,-18.1302,30.1407,60.1,5.91
119,Harper,78,broken clouds,89,4.375,-7.7169,80.15,7.72
120,Baherden,87,overcast clouds,83,38.4362,57.4316,51.42,5.23
121,Vostok,20,few clouds,70,46.4856,135.8833,32.25,11.25
122,Tari,99,overcast clouds,15,12.4086,4.4914,80.06,9.55
123,Kita,1,clear sky,16,13.0349,-9.4895,78.73,4.56
124,Katakwi,74,broken clouds,75,1.8911,33.9661,69.26,4.14
125,Gizo,64,broken clouds,72,-8.103,156.8419,84.22,3.49
126,Namibe,100,light rain,84,-15.1961,12.1522,72.27,3.74
127,Tecozautla,1,clear sky,18,20.5333,-99.6333,68.65,8.5
128,Rafai,100,overcast clouds,64,4.95,23.9167,75.78,2.68
129,Lingao,39,scattered clouds,76,19.9103,109.6859,73.33,10.4
130,Rioja,58,broken clouds,61,-29.4111,-66.8507,69.62,3.4
131,Dubrovnik,0,clear sky,32,42.6481,18.0922,38.84,8.05
132,Palu,74,broken clouds,57,-0.8917,119.8707,90.32,1.01
133,Craig,0,clear sky,65,40.5153,-107.5464,2.82,0.0
134,Waipawa,1,clear sky,53,-41.4122,175.5153,71.26,6.24
135,Fort Nelson,100,overcast clouds,52,58.8053,-122.7002,9.99,6.91
136,Vestmanna,20,few clouds,81,62.1564,-7.1664,41.92,16.11
137,Urumqi,100,overcast clouds,70,43.801,87.6005,38.35,2.24
138,Handan,34,scattered clouds,50,36.6006,114.4678,64.51,7.63
139,Rocky Mountain House,100,overcast clouds,72,52.3668,-114.9188,10.51,5.75
140,Buala,65,moderate rain,79,-8.145,159.5921,83.26,4.7
141,Dingle,46,light rain,67,10.9995,122.6711,86.13,8.23
142,Orange,20,few clouds,67,33.7,-117.7675,66.54,3.44
143,Port Blair,20,few clouds,74,11.6667,92.75,84.24,6.91
144,Tarrafal,3,clear sky,79,15.2833,-23.7667,68.79,17.85
145,Tuatapere,100,overcast clouds,60,-46.1333,167.6833,68.94,7.47
146,Shingu,100,overcast clouds,51,33.7333,135.9833,59.88,5.06
147,Ifo,98,overcast clouds,83,6.8144,3.1958,82.02,4.97
148,San Cristobal,97,overcast clouds,94,7.7669,-72.225,71.78,1.34
149,Mayor Pablo Lagerenza,64,broken clouds,62,-19.9309,-60.7718,78.48,5.91
150,Mercedes,0,clear sky,53,-34.6515,-59.4307,60.04,4.45
151,Hami,4,clear sky,41,42.8,93.45,47.46,7.4
152,Kushima,100,overcast clouds,53,31.4583,131.2333,63.97,6.15
153,Long Beach,0,clear sky,69,33.767,-118.1892,64.89,11.5
154,Meulaboh,100,overcast clouds,86,4.1363,96.1285,77.88,2.39
155,Gamba,100,overcast clouds,84,-2.65,10.0,79.07,5.88
156,Sao Joao Da Barra,26,scattered clouds,84,-21.6403,-41.0511,78.73,16.73
157,Manokwari,98,overcast clouds,72,-0.8667,134.0833,82.71,5.64
158,Adrar,0,clear sky,14,20.5022,-10.0711,63.48,12.15
159,Micheweni,100,overcast clouds,77,-4.9667,39.8333,78.84,5.1
160,Hameenlinna,100,overcast clouds,91,60.996,24.4643,27.84,9.19
161,Nome,0,clear sky,59,64.5011,-165.4064,24.87,27.63
162,Fenoarivo Atsinanana,100,overcast clouds,92,-17.3667,49.4167,75.9,4.59
163,Kostrzyn,9,clear sky,47,52.3985,17.2281,27.68,5.99
164,Kargasok,81,broken clouds,100,59.0556,80.8572,-19.62,6.46
165,Jizan,99,overcast clouds,61,17.3333,42.6667,79.74,6.04
166,Olafsvik,100,overcast clouds,95,64.8945,-23.7142,39.81,17.98
167,Chulman,99,overcast clouds,89,56.8479,124.9104,4.87,7.65
168,Beloha,24,few clouds,91,-25.1667,45.05,74.21,11.54
169,Sao Bento Do Sul,100,light rain,95,-26.2503,-49.3786,67.24,2.51
170,Westport,0,clear sky,83,41.1415,-73.3579,39.9,3.44
171,Pemba,75,broken clouds,94,-12.974,40.5178,77.7,11.5
172,Lakatoro,49,scattered clouds,74,-16.0999,167.4164,83.48,4.63
173,Olinda,75,broken clouds,69,-8.0089,-34.8553,82.13,6.91
174,Qui Nhon,97,overcast clouds,73,13.7667,109.2333,74.7,9.51
175,Floro,7,clear sky,46,61.5996,5.0328,47.97,19.57
